AUTORITATEA NATIONALA DE,,,,
SUPRAVEGHERE A PRELUCRARII DATELOR CU CARACTER PERSONAL,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"3,460"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"2,529"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,912
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,19
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"3,460"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"2,529"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,912
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,19
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
